id,ulasan,ulasan_clean,rating,word_count,label_aktual,prediksi,arah_kesalahan,skor_keputusan,jarak_ke_batas,kategori_penyebab,catatan
47988,Anda semua adalah sapi perah kami💸,semua sapi perah,1,6,0,1,negatif_lolos_sebagai_positif,0.026574932181521294,0.026574932181521294,sarkasme_ironi,"Metafora ""sapi perah"" bernada sindiran; polaritas negatif tidak dinyatakan secara literal."
19173,"Saya sering pakai goride untuk kesekolah, tapi setiap hari Senin saya suka susah dapet driver. Kalau dapet juga dapetnya yang jauh..",sering pakai goride seko hari senin suka susah dapat pengemudi kalau dapat dapat jauh,2,21,0,1,negatif_lolos_sebagai_positif,0.029721303406005983,0.029721303406005983,negasi_kompleks,"Keluhan muncul setelah kontras ""sering pakai ... tapi""; bagian awal netral/positif bercampur dengan inti negatif ""susah"" dan ""jauh""."
19634,"Masih Belum Ada tanggapan soal akun saya, ngirim Gmail sudah tapi belum ada respon",belum ada tanggap soal akun kirim gmail belum ada respons,1,14,0,1,negatif_lolos_sebagai_positif,0.04782138293364563,0.04782138293364563,negasi_kompleks,"Keluhan dibentuk oleh negasi berulang ""belum ada tanggapan/respon""."
60133,jangan kasih driver motor butut,jangan kasih pengemudi motor butut,5,5,1,0,positif_salah_ditandai_negatif,-0.053410022792966305,0.053410022792966305,label_keliru_pengguna,"Rating 5 menghasilkan label positif, tetapi isi adalah larangan/keluhan tentang motor driver yang buruk."
78968,Petunjuk arah jalannya malah di unjuk ke jalan buntu,tunjuk arah jalan malah unjuk jalan buntu,2,9,0,1,negatif_lolos_sebagai_positif,0.07665157233946038,0.07665157233946038,kegagalan_preprocessing,"Frasa typo ""di unjuk"" tidak dinormalisasi menjadi ""ditunjuk"", sehingga relasi keluhan petunjuk menuju jalan buntu melemah."
45059,Bnyak kndraan.. gda yg nyangkut,banyak kndraan gda sangkut,1,5,0,1,negatif_lolos_sebagai_positif,0.08943722509423627,0.08943722509423627,kegagalan_preprocessing,"Slang/typo ""gda"" tidak berubah menjadi ""tidak ada""; negasi inti keluhan hilang dari bentuk bersih."
40345,driver pd lemot klo jemput giliran nganter cepet,pengemudi lemot kalau jemput gilir antar cepat,1,8,0,1,negatif_lolos_sebagai_positif,0.1289932214895472,0.1289932214895472,negasi_kompleks,Kontras dua fase layanan: jemput lemot tetapi antar cepat; polaritas campuran mudah terdorong ke sisi positif.
20221,gojek aplikasi paling dzholim,gojek aplikasi paling dzholim,1,4,0,1,negatif_lolos_sebagai_positif,0.19309936977512546,0.19309936977512546,kegagalan_preprocessing,"Kata sentimen utama ""dzholim"" tetap OOV/tidak dinormalisasi ke ""zalim""."
99543,"Saya tidak bisa login menggunakan no telp, saat Saya mencoba daftar ulang email saya rata"" Sudah digunakan untuk membuat akun gojek bagaimana saya bisa login?",tidak bisa login guna nomor telepon coba daftar ulang email rata guna buat akun gojek bagaimana bisa login,4,25,1,0,positif_salah_ditandai_negatif,-0.1945107856109608,0.1945107856109608,label_keliru_pengguna,"Rating 4 memberi label positif, sedangkan isi jelas menyatakan tidak bisa login dan masalah akun."
35979,"Kapan yah tampilan beranda, gojek diperbarui lagi ke konsep yang lebih modern lgi soalnya dari 2022-2025 tampilany masih gitu2 aja gk ada perubahan sama sekali, kalo tampilan aplikasi dilebih modern kan lagi kan enak kelihatannya biar bisa menarik para penggun memperbnyk jumlah unduhan di appstore & playstornya sama blm ada fitur hapus riwayat pesann ojek online transaksi, laporan, dimenu, aktifasi, obrolan, sama belum ada juga obrolan digital AI dimenu obrolan, saya harap scptny di apk gojeknya",kapan tampil beranda gojek pembaruan konsep lebih modern soal tampilany aja tidak ada ubah sama sekali kalau tampil aplikasi lebih modern kan kan enak lihat biar bisa tarik gun memperbnyk jumlah unduh appstore playstornya sama belum ada fitur hapus riwayat pesan ojek online transaksi lapor menu aktifasi obrol sama belum ada obrol digital ai menu obrol harap scptny aplikasi gojek,5,74,1,0,positif_salah_ditandai_negatif,-0.2117940539850921,0.2117940539850921,label_keliru_pengguna,"Rating 5, tetapi sebagian besar isi adalah daftar kekurangan/fitur yang belum ada dan permintaan perbaikan."
